card_name,card_type,distance_skills,strategy_skills,location_skills,terrain_skills,season_skills,weather_skills,ground_skills,general_skill,training_effectiveness,specialty_priority,friendship_bonus,mood_effect,location,terrain,distance,season,weather,ground,performance_score
Card_0,Speed,mile,,Hakodate,turf,summer,,,1,0.2,0.8,0.35,0.15,Nakayama,turf,sprint,winter,rainy,heavy,1429.63
Card_0,Speed,mile,,Hakodate,turf,summer,,,1,0.2,0.8,0.35,0.15,Sapporo,dirt,mile,spring,sunny,heavy,1479.63
Card_0,Speed,mile,,Hakodate,turf,summer,,,1,0.2,0.8,0.35,0.15,Tokyo,turf,sprint,summer,sunny,heavy,1479.63
Card_0,Speed,mile,,Hakodate,turf,summer,,,1,0.2,0.8,0.35,0.15,Nakayama,dirt,long,fall,rainy,soft,1379.63
Card_0,Speed,mile,,Hakodate,turf,summer,,,1,0.2,0.8,0.35,0.15,Nakayama,dirt,medium,summer,cloudy,soft,1429.63
Card_0,Speed,mile,,Hakodate,turf,summer,,,1,0.2,0.8,0.35,0.15,Sapporo,turf,medium,winter,cloudy,firm,1429.63
Card_0,Speed,mile,,Hakodate,turf,summer,,,1,0.2,0.8,0.35,0.15,Nakayama,dirt,sprint,summer,cloudy,firm,1429.63
Card_0,Speed,mile,,Hakodate,turf,summer,,,1,0.2,0.8,0.35,0.15,Nakayama,turf,long,winter,sunny,heavy,1429.63
Card_0,Speed,mile,,Hakodate,turf,summer,,,1,0.2,0.8,0.35,0.15,Sapporo,dirt,medium,spring,rainy,firm,1379.63
Card_0,Speed,mile,,Hakodate,turf,summer,,,1,0.2,0.8,0.35,0.15,Tokyo,dirt,sprint,winter,rainy,firm,1379.63
Card_0,Speed,mile,,Hakodate,turf,summer,,,1,0.2,0.8,0.35,0.15,Nakayama,dirt,sprint,fall,cloudy,firm,1379.63
Card_0,Speed,mile,,Hakodate,turf,summer,,,1,0.2,0.8,0.35,0.15,Nakayama,turf,medium,spring,sunny,firm,1429.63
Card_0,Speed,mile,,Hakodate,turf,summer,,,1,0.2,0.8,0.35,0.15,Nakayama,turf,sprint,fall,rainy,firm,1429.63
Card_0,Speed,mile,,Hakodate,turf,summer,,,1,0.2,0.8,0.35,0.15,Hakodate,dirt,mile,fall,sunny,firm,1529.63
Card_0,Speed,mile,,Hakodate,turf,summer,,,1,0.2,0.8,0.35,0.15,Sapporo,dirt,medium,spring,cloudy,firm,1379.63
Card_0,Speed,mile,,Hakodate,turf,summer,,,1,0.2,0.8,0.35,0.15,Kyoto,turf,mile,spring,rainy,heavy,1529.63
Card_0,Speed,mile,,Hakodate,turf,summer,,,1,0.2,0.8,0.35,0.15,Sapporo,turf,mile,fall,sunny,heavy,1529.63
Card_0,Speed,mile,,Hakodate,turf,summer,,,1,0.2,0.8,0.35,0.15,Sapporo,dirt,mile,summer,sunny,heavy,1529.63
Card_0,Speed,mile,,Hakodate,turf,summer,,,1,0.2,0.8,0.35,0.15,Nakayama,dirt,mile,spring,rainy,firm,1479.63
